File; Clique; Time (sec)
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock400_2.clq; 23; 12.384
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/san1000.clq; 8; 21.0222
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/gen200_p0.9_55.clq; 40; 15.0329
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/gen200_p0.9_44.clq; 36; 13.9627
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock400_1.clq; 23; 12.0495
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/hamming8-4.clq; 16; 2.68979
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/johnson8-2-4.clq; 4; 0.167737
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock400_4.clq; 23; 12.0902
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/sanr200_0.9.clq; 40; 13.6531
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock200_1.clq; 20; 5.77211
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/MANN_a27.clq; 121; 99.5809
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/keller4.clq; 11; 2.95398
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/p_hat1000-1.clq; 10; 15.3509
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/p_hat500-3.clq; 48; 32.6538
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/p_hat300-3.clq; 35; 16.1969
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/MANN_a9.clq; 16; 1.05517
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/p_hat1000-2.clq; 44; 43.9012
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock200_4.clq; 15; 4.01625
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/sanr400_0.7.clq; 20; 10.7543
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/p_hat1500-1.clq; 11; 24.0976
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/johnson16-2-4.clq; 8; 1.56309
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock200_3.clq; 14; 3.54196
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/C125.9.clq; 34; 7.96579
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock400_3.clq; 24; 12.1091
/home/pazamelin/github/HSE/ORA/ww2/build/../inputs/brock200_2.clq; 10; 2.80206
