File; Clique; Time (sec)
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock400_2.clq; 25; 2.54216
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/san1000.clq; 15; 35.2606
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/gen200_p0.9_55.clq; 55; 1.76659
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/gen200_p0.9_44.clq; 44; 1.60512
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock400_1.clq; 25; 2.49765
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/hamming8-4.clq; 16; 2.04286
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/johnson8-2-4.clq; 4; 1.07204
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock400_4.clq; 25; 2.54852
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/sanr200_0.9.clq; 42; 1.54533
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock200_1.clq; 21; 1.65734
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/MANN_a27.clq; 126; 2.17455
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/keller4.clq; 11; 1.51829
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/p_hat1000-1.clq; 10; 8.01418
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/p_hat500-3.clq; 50; 3.48022
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/p_hat300-3.clq; 36; 2.27019
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/MANN_a9.clq; 16; 1.13758
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/p_hat1000-2.clq; 46; 12.2261
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock200_4.clq; 17; 1.72798
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/sanr400_0.7.clq; 21; 2.57945
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/p_hat1500-1.clq; 11; 14.9438
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/johnson16-2-4.clq; 8; 1.1671
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock200_3.clq; 14; 1.75995
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/C125.9.clq; 34; 1.27358
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock400_3.clq; 25; 2.56622
/home/pazamelin/github/HSE/ORA/ww3/build/../inputs/brock200_2.clq; 12; 1.85992
